komentar,final_cleaned,label
"suka banget nonton video ka tasyi video nya seru dan pembawaanya enjoy,bahasa nya enak di denger review nya gampang di cerna paling suka pkoknya sama video kak tasyi dari dulu bikin tutorial bikin donat,corn dog dll love you kakk video nya menghibur ak yg bosen banget di sela sela libur sekolah ini boring banget kan ya kalo libur sekolah ginii tapi di temani sama video kak tasyii dehh",suka banget nonton video tasyi video seru pembawanya enjoy bahasa enak denger review gampang cerna suka pkoknya video tasyi bikin tutorial bikin donat corn love video hibur bosen banget libur sekolah boring banget libur sekolah gini teman video tasyi,positive
bener2 detail bgt ka tasyi klo ngereview!❤,bener2 detail banget tasyi ngereview,positive
Cabe gendot menurut ku ada 2 jenis kak soalnya aku beli pertama pedes pas kedua ga pedes,cabe gendot jenis beli pedes pedes,neutral
"Sumpah sih diluar kabar2 tentang Tasyi, aku cukup terbantu sama reviewnya dia. Gak cuma ngomong ""enak"", ""approved"", atau ""gaenak"" tapi dia juga ngerti tentang makanan yg dia review. Banyak info juga di tiap videonya👍",sumpah luar kabar2 tasyi bantu reviewnya ngomong enak aproved gaenak ngerti makan review info video,positive
Nonton Review makanan yg mengerti makanan itu enak banget kayak bnyk dpt kosa kata baru ttg makanan 😅,nonton review makan erti makan enak banget kayak bnyk kosa makan,positive
Komen ah siapa tau ada yg NGAMUK 😂,komen ngamuk,negative
Cobain roti swetiee ifood kak,cobain roti swetie ifod,neutral
Ham itu bukannya daging babi yaa ? Bertanya dengan nada santai,daging babi nada santai,neutral
"Tetep suka liat review ka tasyi, semangat terus kaaa 🎉",tetep suka liat review tasyi semangat,positive
Cucu apho nama aslinya Angel kak tasyi❤ artinya cucu nenek❤,cucu apho nama asli angel tasyi cucu nenek,neutral
Selalu bagus review makanan ka tasyi,bagus review makan tasyi,positive
bini gw cakep bgt,bini cakep banget,positive
"aku suka bgt sama ka pebi,karna kaka ceria terusssss tiap bikin video bikin mood aku yang nontonnyaaa
udah cantik,bawaannya happy terusss
semangat terus ya kakk,sukes selaluu😍😍😍🫰🫰🫰🫰",suka banget pebi karna kaka ceria terus bikin video bikin nontonya cantik bawa hapy terus semangat sukes selalu,positive
"Suka banget nonton cici ,karena cici kalau nge review tu tanpa menjelek jelekkan makanan dan menghargai banget ,luv deh🫶🏻🫶🏻😽",suka banget nonton cici cici review jelek jelek makan harga banget,positive
kenapa makan baksonya gitu sii😢😢,makan bakso,negative
"dlu sering nonton waktu covid, terus gaperna liat lg, skrg nonggol huhuhu kangennyaa",nonton covid gaperna liat nongol huhuhu kangenya,positive
Makasi kak konsisten beli beli dagangan org ❤❤❤❤,terima kasih konsisten beli beli dagang,positive
Editornya bikin ngakak 🤣,editor bikin ngakak,positive
"Cara penyampaiannya unik, ngakak tapi pinter.",sampai unik ngakak pinter,positive
Sering-sering upload video ytb dong kak dah nungguin mulu😅,upload video nunguin mulu,positive
menurut aku ini ripwiw yng jujur siiiiiiiiiiiiiiii,ripwiw jujur,positive
Emba kalo gak enak gak usa di beli dong,emba enak beli,negative
Editornya moodbooster bgt😅,editor modboster,positive
editornyaaaaa suka bgtttt 🥹🥹🥹🤎🤎,editornya suka,positive
terlalu banyak ngatur jualan orang ga sih? coba deh buka resto sendiri terus dikomen orang sampai ke akar,ngatur jual orang coba buka resto dikomen orang akar,negative
Apa cuma aku y klo ngeliat tasyi itu bedak nya Rebel ampek beda tangan Ama mukanya,ngeliat tasyi bedak rebel ampek beda tangan muka,negative
kak ko makan nya tangan kiri,makan tangan kiri,negative
makannya kok pake tngn kiri kak?,makan pake tngn kiri,negative
"Coba2 review masakan mu sendiri mbakyu, penasaran pasti sempurna, 🤭 yg objektif ya  ratingnya",coba2 review masakan mbakyu penasaran sempurna objektif ratingnya,negative
CINA,cina,negative
"Bawel mengenai bahan bahan ,,ko masih dibilang pesing😂",bawel bahan bahan bilang pesing,negative
Malah ngatain makanan bau pesing,ngatain makan pesing,negative
"Dah makan gratis malah menilai, ora sopan blasssss",makan gratis nilai sopan blas,negative
"Gak sopan, makanan mertuapun di rating",sopan makan mertua rating,negative
"jualan artis tu b aja ga spesial bukan sesuatu yg harus dibanggakan, cuma menang mereka artis terkenal jadi bisa ngejual dengan harga selangit dan berlindung dibalik kata ""PREMIUM"" pdhl premium atau ga nya itu kadang kita ga sadar kadanng rasanya ya sebenernya kaya kita beli di abang abangan versi lebih mahalnya",jual artis spesial banga menang artis kenal ngejual harga langit lindung balik premium pdhl premium kadang sadar kadang sebenernya beli abang abangan versi mahal,negative
mending gausah review makanan LG g si,mending gausah review makan,negative
Keg pemerasan ga sih ? Pinkan..dasar orang gila..donat odading busuk,peras dasar orang gila donat odading busuk,negative
"jelek bgt logat ngomong kata” yg ada K nya, cina ap gmn sih?",jelek banget logat ngomong cina,negative
"udh tau makanannya yg berantakan gt pake baju lengen panjang bgt, jorok pas mkn donat kotor bgt",makan beranta pake baju lengen jorok donat kotor banget,negative
Kontennya bagus tp jngan jatohin orang laen lagi ciii.matiin rejeki orang situ mau gk rejekinya dipatiii,konten bagus jngan jatohin orang laen matin rejeki orang situ rejekinya dipati,negative
"Saran sih kak, buat pengeditan vodeonya (dibagian cut) mungkin bisa lebih bagus lagi, karna kayak kurang nyaman jadinya dengernya😅",saran edit vodeonya bagi bagus karna kayak nyaman dengernya,negative
kaka keknya makan nya pake tangan kiri deh,kaka makan pake tangan kiri,negative
Wek jijiknya,jijik,negative
sombong bnget 😂😂,sombong bnget,negative
Kenapa si kak jarang bngt up vidio sebel deh nungguinnya,jarang banget vidio sebel nunguinya,negative
Bang ketiak lu😭,bang ketiak,negative
"salfok sama makanan❎
Salfok sama ketek nya✅",salfok makan salfok ketek,negative
Bang kalau boleh saran....bulu ketek tutup dl lah kalau pake kaus tanpa lengan😀 apalagi pas makan..agak2 bikin illfeel😅,bang saran bulu ketek tutup pake kaus lengan makan agak2 bikin ilfel,negative
bulu ketek lu bangg😭,bulu ketek bang,negative
Kak mbok bulu ketek nya di cukur atuh kak kayak gelii gitu liatnya...,mbok bulu ketek cukur atuh kayak geli liat,negative
Ketek cukur bang,ketek cukur bang,negative
please bang ketek lu,tolong bang ketek,negative
Bacot,bacot,negative
trs knp njir?,njir,negative
dia sering bete gara² makanan ya?,bete gara makan,negative
ajg mahal bgt,mahal banget,negative
Mending beli jualan umkm ga sih daripada jualan tiktokers yang overprice😅,mending beli jual umkm jual tiktokers overprice,negative
Video malah berasa kayak iklan,video kayak iklan,negative
Komen lu pada julid gob,komen julid,negative
"Tasyi kenapa tiap reviu selalu bilang ""kalo resep aku"" ya? Apakah semua produk harus dibandingin sama resepnya?",tasyi reviu bilang kalo resep produk dibandingin resep,negative
"Suara tuing""nya ganggu bgt, aman ga pas lagi itu nujukkin apaan",suara tuing gangu aman nujukin,negative
"sound efeknya ganggu kebanyakan kak, kalo pun amu setiap pop up ada tueng tuengnnya kecilin dikit jadi rame teuing",sound efek gangu banyak tueng tuengnya kecilin dikit rame teuing,negative
yg bener dong review ramenya.. -.- buat lidah gw sih kureng yah,bener review ramenya lidah reng,negative
Berisik banget keluar sound effect nya setiap tulisan,berisik banget sound efect tulis,negative
Kenapa ya gue ga suka seirock. Enek banget kuahnya bau banget ayam boiler. Aku sampe tambahin lada banyak banget saking eneknya. Apa karena salah cabang ya. Aku cobain menu varian lain yg ga viral di seirock juga tetep menurutku b aja. Ramen ya malah lebih pas di lidah aku rasanya,suka seirock enek banget kuah banget ayam boiler sampe tambahin lada banget saking enek salah cabang cobain menu varian viral seirock tetep turut ramen lidah,negative
maaf ka pergelangan tangan itu aurat Bisa d blur biar ga jd dosa jariyah ka,gelang tangan aurat blur biar dosa jariyah,negative
"Ngapasih orang2 kalo mau bilang ""ini kriuk"" aja kudu dikadih kata ""kek kriuk2 gitu"" atau ""kaya kriuk2 gitu"" engga makin jauh apa puter jalannya ya?",ngapasih orang2 bilang kriuk kudu dikadih kriuk2 gitu kaya kriuk2 gitu puter jalan,negative
"Kaka,makan nya pake tangan kiri??",kaka makan pake tangan kiri,negative
"Soundnya yang tuing² bikin nggak fokus ke videonya,  jujur keganggu kalo bisa di kecilin kak 🙏",soundnya tuing bikin fokus video jujur gangu kecilin,negative
berisik😢 kaget😢,berisik kaget,negative
"Kaya makan nasgor pake mie ,duh too much syekali😅",makan nasgor pake much syekali,negative
Apasih ini yg komen judol? Pantes aja miskin,apasih komen judol pantes miskin,negative
"Dia kalo jd influencer korea kemungkinan kena cancel culture deh.. nyetir mobil ga pake sabuk, mana sambil makan",influencer korea kena cancel culture nyetir mobil pake sabuk makan,negative
"maka ituu, makan disana langsung. konten nya biar fresh, gak melulu di take away.",makan sana langsung konten biar fresh melulu take away,negative
"Donat bahagia overrated deh keknya, mahal pula",donat bahagia overated mahal,negative
"jelas2 ni donat dipotek pake tangan, masak si budepji bilang dipotek pake gigi? itu org buta kali ya ga bisa bedain tangan sama gigi..? benci sama org boleh, tapi jangan fitnah. keterlaluan kalo ga bisa bedain mana tangan mana gigi…",jelas2 donat dipotek pake tangan masak budepji bilang dipotek pake gigi buta kali bedain tangan gigi benci fitnah bedain tangan gigi,negative
"Jujurrr, editor kak tasyi kali inii beda ga sii?? soalnya ngerasa efek suaranya banyak bangettt jadi agak bikin noise pas nontonnya kak😢",jujur editor tasyi kali beda ngerasa efek suara banget bikin noise nontonya,negative
Donat by kurang menarik menurut gua. Trs mahal,donat tarik mahal,negative
Tahu huha menurutku kurang worth it si 80 isi 5,huha turut worth,negative
Beda bgt sama reviewenyw tasyi detil wke gk kek gini,beda banget reviewenyw tasyi detil,negative
Setiap dia review makanan gk pernah si yg punya ngomen kenapa ya wkwk,review makan ngomen wkwk,negative
Mqkasih ya  pelakor udah rebut suami gua,mqkasih pelakor rebut suami,negative
"sorry, aku ngikutin dari awal tapi sekarang mau boycott kamu mba thanks🙏🏻",sory ngikutin boycot thanks,negative
cherry blosom aku pernah coba dan sumpah gasuka bgt sorry ni menurutku rasanya kaya aroma wc gituu😭,chery blosom coba sumpah gasuka banget sory turut aroma gitu,negative
Cibrut ciwi tobrut,cibrut ciwi tobrut,negative
Cibrut cireng tobrut🗿,cibrut cireng tobrut,negative
Aci acian doang overprice banget anjir,overprice banget anjir,negative
Cireng tobrut,cireng tobrut,negative
woi bencong,bencong,negative
"Ikannya Ngikan bgt

Cuwie nya Cuwie bgt


Review apaan siih ini",ikan ngikan banget cuwie cuwie banget review,negative
Knp timnya ga beli kue manconya yg di tiktok aja sihh biar sama persis kyak yg orang2 beli..?? Tasyi aja tau loh klo itu beda sma yg viral di tiktok..,beli manconya tiktok biar persis kyak orang2 beli tasyi beda viral tiktok,negative
"Ya elah review jujur"". Giliram direview balik, ga nerima kritik. .mending sadar diri dulu. Jatoh nya jadi kayak apaan tau. Stop normaliasi anti kritik ya ges.",elah review jujur giliram direview nerima kritik mending sadar jatoh kayak stop normaliasi anti kritik,negative
Ini orang memang kampret,orang kampret,negative
"Warna gold dibelakang Tasyi ganggu banget, mantulin cahaya dari ring light. Padahal semua udah ok, saran aja papan nama & aksen goldnya diganti hiasan lain",warna gold belakang tasyi gangu banget mantulin cahaya ring light saran papan nama aksen goldnya ganti hias,negative
Mines nya slebgram itu satu disaat temen nya buka usaha trus ga enak pekingan nya jelek pasti pada di dukung enk ga enak dibilang enak malah ngasih respon baik dll beda cara dia beli makanan kalau bukn seangkatan nya  trus gaenak jlek tempat nya langsung di rujak di nyi nyirin sampe ke akar akar nya,slebgram temen buka usaha enak peking jelek dukung enak bilang enak ngasih respon beda beli makan bukn angkat gaenak jlek langsung rujak nyirin sampe akar akar,negative
Om nya kutekan,tekan,negative
muka sanger tapi,muka sanger,negative
Ko lagi open bo,open,negative
"Sumpah demi apapun,kukunya 😮😮😮",sumpah kuku,negative
Banci alay  wkwwkkw,banci alay wkwkw,negative
Demi apa cowok pakai kutek 😢😢,cowok pakai kutek,negative
"udah boti ikut"" openingnya mas nizar lgi",openingnya nizar,negative
Lu kaya cewe dah,cewe,negative
Maho🤮,maho,negative
"Bang Potong kuku , kuku lu item2",bang potong kuku kuku item2,negative
Botiiii,boti,negative
Bang botii yaaa,bang boti,negative
kok agak jijay,jijay,negative
sungkem dulu sama editor nya kerenn bat woi😂,sungkem editor keren,positive
wedeeee editornya naik kelas ini editingnya bukan maen😆🔥,wede editor kelas editingnya maen,positive
